Наименование показателей,2009,2010,2011,2012,2013
Налоги,777674,850526,981126,1119761,1268419
Неналоговые поступления,22391,33441,29957,35572,41230
Поступления от продажи основного капитала,31349,36917,33804,35222,47160
Поступления трансфертов,1287764,1486553,1632854,1820369,1927592
ДОХОДЫ,2119178,2407437,2677740,3010924,3284401 
